id,vin,name,make,model,modelYear,engineModel,engineManufacturer,bodyCabType,location,grossVehicleWeightRating
655d1bb26036b9bc491ec330,3BPDX20XXMF110888,3524,PETERBILT,520,2021,ISLG/ISLG-NZ/ISL9N,Cummins,MDHD: COE (Cab Over Engine),3820 North Las Vegas HL,Class 8: 33-001 lb and above (14-969 kg and above)
655d1bb56036b9bc491ec3f8,3BPDLK0X3PF114586,3339,PETERBILT,520,2023,MX-11,PACCAR,MDHD: COE (Cab Over Engine),BU447 South Las Vegas,Class 8: 33-001 lb and above (14-969 kg and above)
655d1bb66036b9bc491ec454,3BPDXK0X3RF116930,1512,PETERBILT,520,2024,MX-11,PACCAR,MDHD: COE (Cab Over Engine),BU439 East Phoenix,Class 8: 33-001 lb and above (14-969 kg and above)
655d1bc06036b9bc491ec8f8,3BPDLK0X5RF117816,3347,PETERBILT,520,2024,MX-11,PACCAR,MDHD: COE (Cab Over Engine),BU447 South Las Vegas,Class 8: 33-001 lb and above (14-969 kg and above)
660c1e2c187931fedb353de4,3BPDLK0X5SF693542,3357,PETERBILT,520,2025,MX-11,PACCAR,MDHD: COE (Cab Over Engine),BU447 South Las Vegas,Class 8: 33-001 lb and above (14-969 kg and above)
6670b0573d23c5209363edcf,1NPSXHEX5FD262678,3137,PETERBILT,365,2015,X11.9G/X12G,Cummins,,BU438 South Phoenix,Class 8: 33-001 lb and above (14-969 kg and above)
6670b05a3d23c5209363f3f0,3BPDXK0X2LF106865,2601,PETERBILT,520,2020,MX-11,PACCAR,MDHD: COE (Cab Over Engine),BU438 South Phoenix,Class 8: 33-001 lb and above (14-969 kg and above)
6670b05a3d23c5209363f41c,2NP3LJ0X0JM496213,3166,PETERBILT,348,2018,PX-9,PACCAR,MDHD: Conventional,BU438 South Phoenix,Class 8: 33-001 lb and above (14-969 kg and above)
6670b05a3d23c5209363f4c1,2NP3LJ0X5FM264505,3004,PETERBILT,348,2015,PX-9,PACCAR,MDHD: Conventional,BU438 South Phoenix,Class 8: 33-001 lb and above (14-969 kg and above)
6670b05a3d23c5209363f526,3BPDXK0X2LF108812,1414,PETERBILT,520,2020,MX-11,PACCAR,MDHD: COE (Cab Over Engine),BU438 South Phoenix,Class 8: 33-001 lb and above (14-969 kg and above)
6670b05b3d23c5209363f5a4,2NP3LJ0X9FM264507,3005,PETERBILT,348,2015,PX-9,PACCAR,MDHD: Conventional,BU439 East Phoenix,Class 8: 33-001 lb and above (14-969 kg and above)
6670b05c3d23c5209363f7b8,3BPZX20X7HF174432,1255,PETERBILT,320,2017,ISLG/ISLG-NZ/ISL9N,Cummins,,BU438 South Phoenix,Class 8: 33-001 lb and above (14-969 kg and above)
6670b05d3d23c5209363fa4a,3BPDXK0X7MF110735,2613,PETERBILT,520,2021,MX-11,PACCAR,MDHD: COE (Cab Over Engine),BU438 South Phoenix,Class 8: 33-001 lb and above (14-969 kg and above)
6670b05d3d23c5209363fb35,1M2AX13C8GM035167,6756,MACK,GU (Granite),2016,,,MDHD: CBE (Cab Behind Engine),Plano  TX,Class 8: 33-001 lb and above (14-969 kg and above)
6670b05d3d23c5209363fba1,3BPDXK0X3PF113412,1509,PETERBILT,520,2023,MX-11,PACCAR,MDHD: COE (Cab Over Engine),BU439 East Phoenix,Class 8: 33-001 lb and above (14-969 kg and above)
6670b05e3d23c5209363fccc,3BPZLJ0X8FF100004,1500,PETERBILT,320,2015,PX-9,PACCAR,,Plano  TX,Class 8: 33-001 lb and above (14-969 kg and above)
6670b05f3d23c5209363fff0,3BPDXK0X8KF102916,1399,PETERBILT,520,2019,MX-11,PACCAR,MDHD: COE (Cab Over Engine),BU439 East Phoenix,Class 8: 33-001 lb and above (14-969 kg and above)
6670b0613d23c52093640504,3BPDXK0X5KF105613,1600,PETERBILT,520,2019,MX-11,PACCAR,MDHD: COE (Cab Over Engine),4751 Phoenix North HL,Class 8: 33-001 lb and above (14-969 kg and above)
6670b0623d23c52093640801,3BPDLK0X1MF110905,3205,PETERBILT,520,2021,MX-11,PACCAR,MDHD: COE (Cab Over Engine),4751 Phoenix North HL,Class 8: 33-001 lb and above (14-969 kg and above)
6670b06a3d23c52093641be4,1NPCL70X1LD624941,6771,PETERBILT,567,2020,ISX 11.9/12,Cummins,MDHD: Conventional,Plano  TX,Class 8: 33-001 lb and above (14-969 kg and above)
6670b06b3d23c52093641da4,3BPZLK0X5HF107825,1507,PETERBILT,320,2017,MX-11,PACCAR,,Plano  TX,Class 8: 33-001 lb and above (14-969 kg and above)
