AlertID,Vin,Vehicle Number,Alert Subject,FMI,SPN,Alert Date,Estimated Cost of Repair
6837f3958655e66d3cbcf73b,3BPDX20XXRF116987,1382,Vehicle Alert - Engine Cylinder Miss Fire,11,1322,5/29/2025 5:41,1200
6837f3d7102902b4f4e7b325,3BPDXK0X5KF105613,1600,Vehicle Alert - DPF Filter Plugging,15,3251,5/29/2025 5:42,15000
6837fb6c102902b4f4e7b32d,1M2TE1GCXMM006001,1244,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 6:15,1500
6837fc01ed0da60901de7aec,1M2AU14C9FM002149,2303,Vehicle Alert - High Coolant Temperature,16,110,5/29/2025 6:17,12000
6837fd7e8655e66d3cbcf74f,1M2TE1GC5LM003389,1295,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 6:23,4500
6837fde3ed0da60901de7af4,1M2TE1GC4MM006169,1273,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 6:25,1500
683800a81f0712cf485bf2b5,3BPZX20X8EF244063,1269,Vehicle Alert - Fan Control Circuit Concern,3,647,5/29/2025 6:37,2500
6838030f102902b4f4e7b33b,1NKDLP0XXCJ309664,3008,Vehicle Alert - Engine Cylinder Miss Fire,11,1325,5/29/2025 6:47,12000
68380487ca33cff86dfeeee2,5VCACLLE8EH217246,1220,Vehicle Alert - Fan Control Circuit Concern,3,647,5/29/2025 6:53,2500
683805861f0712cf485bf2bb,1M2TE1GC2LM003902,1285,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 6:58,4500
683805d8102902b4f4e7b33d,1M2TE1GC9LM002651,1265,Vehicle Alert - Low Coolant Level,1,111,5/29/2025 6:59,7500
683805f71f0712cf485bf2bd,1M2AV02C6KM019964,1168,Vehicle Alert - Engine Cylinder Miss Fire,31,1325,5/29/2025 7:00,4500
683807381f0712cf485bf2bf,3BPZL20XXDF209597,1262,Vehicle Alert - Fan Control Circuit Concern,3,647,5/29/2025 7:05,3500
683807381f0712cf485bf2c0,3BPZL20XXDF209597,1262,Vehicle Alert - High Coolant Temperature,16,110,5/29/2025 7:05,15000
683808cfed0da60901de7b0e,1M2TE1GC5KM001513,1226,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 7:12,4500
68380937ed0da60901de7b10,1M2AV17C9GM011539,1318,Vehicle Alert - Fan Control Circuit Concern,3,647,5/29/2025 7:13,5000
68380ab71f0712cf485bf2cb,1M2TE1GC5KM001768,1292,Vehicle Alert - Engine Cylinder Miss Fire,31,1323,5/29/2025 7:20,5000
68380b84ca33cff86dfeeef0,1NPSXHEX2ED244542,3045,Vehicle Alert - Engine Cylinder Miss Fire,31,1322,5/29/2025 7:23,5000
68380b8cca33cff86dfeeef2,3BPZLJ0X3FF296773,2516,Vehicle Alert - Water in Fuel System Fault,3,97,5/29/2025 7:23,7500
68380d8bca33cff86dfeeef4,1M2AV02C4GM014432,1237,Vehicle Alert - DPF Filter Plugging,0,3936,5/29/2025 7:32,15000
68380eeb1f0712cf485bf2cd,1M2AV17CXFM010768,1305,Vehicle Alert - High Coolant Temperature,16,110,5/29/2025 7:38,15000
68380f3f1f0712cf485bf2cf,5VCACLUF7HH222983,1280,Vehicle Alert - Low Coolant Level,18,111,5/29/2025 7:39,4500
68380fe61f0712cf485bf2d1,3BPZL20X6FF100010,1279,Vehicle Alert - Fan Control Circuit Concern,3,647,5/29/2025 7:42,2500
68381060ca33cff86dfeeefa,1NPCLK0X2HD414245,3717,Vehicle Alert - Low Coolant Level,18,111,5/29/2025 7:44,15000
68381140ca33cff86dfeeefe,1M2AV17CXFM010768,1305,Vehicle Alert - High Coolant Temperature,0,110,5/29/2025 7:48,4500
68381223102902b4f4e7b35b,1M2AV02C6JM017517,1241,Vehicle Alert - Fan Control Circuit Concern,4,647,5/29/2025 7:52,4500
683812bcca33cff86dfeef02,3BPDXK0X9MF110915,2552,Vehicle Alert - DPF Filter Plugging,15,3251,5/29/2025 7:54,10000
683813311f0712cf485bf2db,5VCACRLE8BH212269,1365,Vehicle Alert - Fan Control Circuit Concern,3,647,5/29/2025 7:56,2500
68381332102902b4f4e7b35d,3BPZX20XXHF107520,1367,Vehicle Alert - Fan Control Circuit Concern,3,647,5/29/2025 7:56,2500
6838148a102902b4f4e7b361,1M2TE1GC6LM004549,1282,Vehicle Alert - Low Coolant Level,1,111,5/29/2025 8:02,7500
6838149bed0da60901de7b20,5VCACLSF2GH221497,1625,Vehicle Alert - Engine Cylinder Miss Fire,31,1322,5/29/2025 8:02,5000
683814e81f0712cf485bf2df,2NP2HJ7X9FM299728,2051,Vehicle Alert - Engine Protection Torque Derate Condition Exists,31,1569,5/29/2025 8:03,15000
6838156aca33cff86dfeef06,5VCACLUF5EH217597,1213,Vehicle Alert - Low Coolant Level,18,111,5/29/2025 8:06,2500
683815ee1f0712cf485bf2e5,5VCACLUF7HH222983,1280,Vehicle Alert - Water in Fuel System Fault,3,97,5/29/2025 8:08,1200
683816cced0da60901de7b28,3BPZX20X8EF244063,1269,Vehicle Alert - High Coolant Temperature,16,110,5/29/2025 8:11,12000
683816d61f0712cf485bf2e9,1M2TE1GC4MM006012,1314,Vehicle Alert - Turbo VGT Actuator Concern,2,641,5/29/2025 8:12,4500
683816de102902b4f4e7b367,3BPDL70X6JF160739,1222,Vehicle Alert - Low Coolant Level,18,111,5/29/2025 8:12,12000
683816f6102902b4f4e7b369,3BPDLH0XBJF161641,3005,Vehicle Alert - Engine Cylinder Miss Fire,31,1328,5/29/2025 8:12,15000
68381708102902b4f4e7b36b,1M2TE2GC7RM011766,1321,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 8:12,12000
683817d6ca33cff86dfeef0c,3BPZLJ0X7FF296775,1304,Vehicle Alert - Engine Protection Torque Derate Condition Exists,31,1569,5/29/2025 8:16,20000
683818e0102902b4f4e7b373,3BPZL20X8DF190384,1084,Vehicle Alert - Fan Control Circuit Concern,3,647,5/29/2025 8:20,3500
683818e1ed0da60901de7b30,3BPZL20X8DF209601,1267,Vehicle Alert - Fan Control Circuit Concern,3,647,5/29/2025 8:20,3500
68381930ed0da60901de7b36,1M2TE1GC9LM004545,1257,Vehicle Alert - Low Coolant Level,1,111,5/29/2025 8:22,7500
68381a1eed0da60901de7b3a,1NKZL40X4GJ102519,3113,Vehicle Alert - Water in Fuel System Fault,3,97,5/29/2025 8:26,4500
68381a1eed0da60901de7b3c,3BPDL70X7JF161351,1263,Vehicle Alert - Injector Metering Rail Pressure,15,157,5/29/2025 8:26,4500
68381a48ca33cff86dfeef10,1M2TE1GC9KM001756,1364,Vehicle Alert - DPF Filter Plugging,0,3936,5/29/2025 8:26,15000
68381b17102902b4f4e7b37d,5VCACL8F5BH212485,1310,Vehicle Alert - Low Coolant Level,17,111,5/29/2025 8:30,4500
68381b8e102902b4f4e7b37f,3BPZX20X2EF245094,2242,Vehicle Alert - Fan Control Circuit Concern,3,647,5/29/2025 8:32,2500
68381b9aed0da60901de7b42,1M2TE1GC4MM006186,1313,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 8:32,1500
68381c0d102902b4f4e7b381,3BPDLK0X6JF160937,1139,Vehicle Alert - DPF Filter Plugging,15,3251,5/29/2025 8:34,2200
68381c31ed0da60901de7b44,1M2TE1GC8MM005185,3058,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 8:34,1500
68381c94ca33cff86dfeef14,3BPDLK0X7PF114588,2268,Vehicle Alert - Engine Cylinder Miss Fire,31,1322,5/29/2025 8:36,15000
68381cab102902b4f4e7b383,1M2AU02C7EM008821,2262,Vehicle Alert - Low Coolant Level,1,111,5/29/2025 8:36,15000
68381d24ca33cff86dfeef16,1M2TE1GC7LM003393,2414,Vehicle Alert - DEF Tank Level,18,1761,5/29/2025 8:39,2500
68381d76ed0da60901de7b4c,1M2LR1GC4PM008321,2245,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 8:40,15000
68381d9ded0da60901de7b4e,1M2AX13C2HM039202,3048,Vehicle Alert - Fan Control Circuit Concern,5,647,5/29/2025 8:41,2200
